Feature,Value
filename,data/outputs/umer/2025-05-22_09-59-24
duration,2.61
engagement_score,0
total_blinks,123
blink_rate_per_sec,0.7855144771805819
blinks_early,9
blinks_mid,13
blinks_late,101
max_blink_streak,18
eye_direction_entropy,1.3537415332965304
eye_dir_left,0.06240713224368499
eye_dir_right,0.041604754829123326
eye_dir_center,0.5854383358098069
eye_dir_up,0.1961367013372957
eye_dir_down,0.0
avg_yaw,-77.62728708660903
avg_pitch,83.605776395541
avg_roll,-36.71976381622555
head_rotation_variance,3273.627878548773
head_jerk_rate,0.2682244556226377
head_rotation_per_sec,63.5121615721374
dominant_emotion,Happy
emotion_switches,113
emotion_switch_rate,0.7216515115561444
time_to_first_emotion_switch,8.92517638206482
final_emotion,Neutral
emotion_Unknown,0.49174483530816915
emotion_Happy,2.241590093417758
emotion_Neutral,1.4369167265498448
emotion_Angry,0.07663555874932507
emotion_Fear,0.03831777937466253
emotion_Sad,0.01277259312488751
body_movement_rate,0.1976225854383358
body_movement_bursts,21
avg_objects_per_frame,3.9821693907875186
unique_objects_count,9
person_visible_ratio,0.9925705794947994
person_presence_gaps,1
suspicious_object_detected,1
name,umer
label,cheating
score,5.6
reason,"{'suspicious_object': 'Suspicious object detected', 'presence_gap': 'Presence gaps: 1', 'abnormal_blink': 'Abnormal blink rate: 0.7855144771805819', 'emotion_switch': 'Emotion switch rate high: 0.7216515115561444', 'low_engagement': 'Low engagement: 0'}"
